{'01044099999': -10.0, '02293099999': -27.6}
         410333 function calls (405725 primitive calls) in 7.218 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1174    0.002    0.000    0.004    0.000 contextlib.py:132(__enter__)
        2    0.000    0.000    0.004    0.002 _collections.py:1(<module>)
     7449    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
      153    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
        1    0.000    0.000    0.003    0.003 mimetypes.py:1(<module>)
     4645    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
      201    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:162(__enter__)
        2    0.000    0.000    0.003    0.002 sessions.py:750(merge_environment_settings)
        1    0.000    0.000    0.003    0.003 selectors.py:1(<module>)
     6996    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.003    0.003 poolmanager.py:1(<module>)
        1    0.000    0.000    0.003    0.003 encoders.py:1(<module>)
        1    0.000    0.000    0.003    0.003 constant.py:1(<module>)
      201    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
    32/26    0.000    0.000    0.003    0.000 typing.py:515(__getitem__)
      282    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      151    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        2    0.000    0.000    0.003    0.001 utils.py:826(get_environ_proxies)
        1    0.000    0.000    0.003    0.003 lzma.py:1(<module>)
       26    0.000    0.000    0.003    0.000 typing.py:694(Union)
     2440    0.003    0.000    0.003    0.000 {method '_checkClosed' of '_io._IOBase' objects}
        1    0.000    0.000    0.003    0.003 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.003    0.003 _text.py:1(<module>)
        1    0.000    0.000    0.003    0.003 <frozen posixpath>:1(<module>)
     8354    0.003    0.000    0.003    0.000 _parser.py:240(__next)
