{'01044099999': -10.0, '02293099999': -27.6}
         330971 function calls (326426 primitive calls) in 3.080 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 __init__.py:60(Sectioned)
      225    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
      123    0.000    0.000    0.000    0.000 _parser.py:312(_class_escape)
      295    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       85    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
     1007    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
        1    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 load_cache.py:60(get_min_temperatures)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
      317    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
        2    0.000    0.000    0.000    0.000 functools.py:902(wrapper)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        6    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
        7    0.000    0.000    0.000    0.000 typing.py:1994(__init_subclass__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 __init__.py:199(split)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:179(sub)
      240    0.000    0.000    0.000    0.000 types.py:192(__init__)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 _adapters.py:19(Message)
        2    0.000    0.000    0.000    0.000 functools.py:816(dispatch)
      401    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      227    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      177    0.000    0.000    0.000    0.000 _virtualenv.py:50(find_spec)
